code,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason,entry_score,concurrent_positions,market_state_at_entry
512980,2024-03-22,2024-03-25,0.81,0.811,0.00023395061728395173,20,到期,1.0,1,trend
512980,2024-04-24,2024-04-25,0.695,0.688,-0.011066906474820153,20,到期,1.0,1,range
512980,2024-05-30,2024-05-31,0.656,0.656,-0.001,20,到期,1.0,1,range
512980,2024-11-06,2024-11-07,0.791,0.787,-0.006054361567635908,20,到期,1.0,1,trend
512980,2024-12-05,2024-12-06,0.859,0.867,0.008308498253783478,20,到期,1.0,1,trend
512980,2024-12-31,2025-01-02,0.774,0.774,-0.0009999999999999998,16,止损,1.0,1,range
512980,2025-03-14,2025-03-17,0.875,0.883,0.008138285714285723,20,到期,1.0,1,trend
512980,2025-04-07,2025-04-08,0.735,0.728,-0.010519047619047628,14,止损,1.0,1,range
512980,2025-07-01,2025-07-02,0.853,0.853,-0.001,20,到期,1.0,1,trend
512980,2025-07-31,2025-08-01,0.878,0.878,-0.0009999999999999998,20,到期,1.0,1,trend
512980,2025-08-29,2025-09-01,1.0,1.002,0.0009990000000000018,20,到期,1.0,1,trend
512980,2025-09-30,2025-10-09,1.057,1.059,0.0008912015137180719,20,到期,1.0,1,trend
512980,2025-11-28,2025-12-01,0.991,0.994,0.0020257315842583277,20,到期,1.0,1,range
512980,2026-02-12,2026-02-13,1.235,1.226,-0.00828380566801629,20,到期,1.0,1,trend
515000,2024-03-26,2024-03-27,0.563,0.562,-0.0027753108348133036,20,到期,1.0,1,trend
515000,2024-05-29,2024-05-30,0.532,0.53,-0.004757518796992485,20,到期,1.0,1,range
515000,2024-07-12,2024-07-15,0.539,0.538,-0.0028543599257884987,20,到期,1.0,1,range
515000,2024-08-13,2024-08-14,0.503,0.502,-0.002987077534791254,20,到期,1.0,1,range
515000,2024-11-07,2024-11-08,0.683,0.69,0.009243777452415659,20,到期,1.0,1,trend
515000,2024-12-10,2024-12-11,0.659,0.658,-0.0025166919575113824,20,到期,1.0,1,trend
515000,2025-01-09,2025-01-10,0.631,0.629,-0.004167987321711572,20,到期,1.0,1,range
515000,2025-02-26,2025-02-27,0.724,0.722,-0.0037610497237569084,20,到期,1.0,1,trend
515000,2025-04-03,2025-04-07,0.647,0.601,-0.07206182380216389,20,到期,1.0,1,range
515000,2025-07-03,2025-07-04,0.677,0.677,-0.001,20,到期,1.0,1,trend
515000,2025-08-01,2025-08-04,0.75,0.743,-0.010328666666666673,20,到期,1.0,1,trend
515000,2025-09-03,2025-09-04,0.94,0.941,6.329787234042659e-05,20,到期,1.0,1,trend
515000,2025-10-13,2025-10-14,0.999,1.008,0.008004504504504514,20,到期,1.0,1,trend
515000,2025-11-21,2025-11-24,0.893,0.897,0.0034770436730123216,20,止损,1.0,1,range
515000,2026-01-09,2026-01-12,1.042,1.04,-0.0029184261036468346,20,到期,1.0,1,trend
515000,2026-02-09,2026-02-10,1.041,1.042,-3.9865513928806994e-05,20,到期,1.0,1,trend
515000,2026-03-24,2026-03-25,0.984,0.994,0.00915752032520326,20,到期,1.0,1,range
