date,close,v8_cmf,future_return_5d
2023-06-15,0.902,-0.028751388436475622,-0.04878048780487809
2023-06-16,0.906,0.04237419323691387,-0.04415011037527594
2023-06-19,0.898,0.01527014064763672,-0.03563474387527843
2023-06-20,0.895,0.019070253514646418,-0.03575418994413415
2023-06-21,0.879,0.028718024545281502,0.0
2023-06-26,0.858,-0.09748611752961543,0.03846153846153855
2023-06-27,0.866,-0.1122453719577414,0.02886836027713624
2023-06-28,0.866,-0.05372871411188266,0.021939953810623525
2023-06-29,0.863,-0.12113272648151494,0.02549246813441486
2023-06-30,0.879,-0.07004965290422177,0.012514220705347023
2023-07-03,0.891,-0.029939371754891274,-0.001122334455667784
2023-07-04,0.891,-0.06318739368690586,0.004489337822671136
2023-07-05,0.885,-0.06682846565335239,0.004519774011299438
2023-07-06,0.885,-0.01552945863372471,0.02033898305084758
2023-07-07,0.89,0.029206609821662705,0.012359550561797716
2023-07-10,0.89,-0.030848009495385492,0.006741573033707926
2023-07-11,0.895,-0.023014495417794913,0.004469273743016755
2023-07-12,0.889,-0.02359276357859536,0.01687289088863886
2023-07-13,0.903,-0.019900820673316513,-0.007751937984496138
2023-07-14,0.901,0.005243374204491658,-0.002219755826859071
2023-07-17,0.896,-0.07671581402742128,0.0022321428571427937
2023-07-18,0.899,-0.12743877472119655,0.05561735261401557
2023-07-19,0.904,-0.041431630942906895,0.04646017699115035
2023-07-20,0.896,-0.035255914420162966,0.044642857142857206
2023-07-21,0.899,0.03361524246943915,0.1312569521690765
2023-07-24,0.898,0.12014367556975657,0.12806236080178168
2023-07-25,0.949,0.23528950601908874,0.06533192834562684
2023-07-26,0.946,0.2464161670372205,0.07610993657505283
2023-07-27,0.936,0.2137956218725951,0.12606837606837606
2023-07-28,1.017,0.34003145548668584,0.04523107177974439
2023-07-31,1.013,0.15584354068249345,0.052319842053307086
2023-08-01,1.011,0.11016809849922893,0.04747774480712175
2023-08-02,1.018,0.10659581508631409,0.03438113948919441
2023-08-03,1.054,0.1784337447195926,0.018975332068311257
2023-08-04,1.063,0.03220209135678887,-0.033866415804327366
2023-08-07,1.066,0.09072112952105077,-0.04596622889305835
2023-08-08,1.059,0.08652086469393568,-0.02171860245514623
2023-08-09,1.053,0.08221634540092171,-0.01424501424501412
2023-08-10,1.074,0.10459599690572398,-0.033519553072625774
2023-08-11,1.027,0.034579920811331606,-0.0058422590068160085
2023-08-14,1.017,0.029272410904680482,-0.03146509341199599
2023-08-15,1.036,0.06626930807185744,-0.030888030888030937
2023-08-16,1.038,0.04699228878301852,-0.05876685934489412
2023-08-17,1.038,0.08072337415505401,-0.044315992292870976
2023-08-18,1.021,0.05289042868594833,-0.022526934378060637
2023-08-21,0.985,0.01206089709926892,0.03857868020304567
2023-08-22,1.004,-0.022746469441659388,0.01195219123505975
2023-08-23,0.977,-0.06228832915578164,0.010235414534288667
2023-08-24,0.992,-0.05294834943084996,-0.024193548387096753
2023-08-25,0.998,-0.15070894986424604,-0.029058116232464903
2023-08-28,1.023,-0.1648301892488517,-0.045943304007820096
2023-08-29,1.016,-0.1078130730048827,-0.04822834645669294
2023-08-30,0.987,-0.13385987474401864,-0.023302938196555267
2023-08-31,0.968,-0.22134452811384203,-0.009297520661157077
2023-09-01,0.969,-0.15933835598614243,-0.00515995872033026
2023-09-04,0.976,-0.19772433103970144,0.0030737704918033515
2023-09-05,0.967,-0.2223595287337757,0.0010341261633919352
2023-09-06,0.964,-0.20105636615459424,-0.007261410788381717
2023-09-07,0.959,-0.27280635916473184,0.002085505735140769
2023-09-08,0.964,-0.1830299536851091,-0.007261410788381717
2023-09-11,0.979,-0.1522413034157147,-0.024514811031664974
2023-09-12,0.968,-0.22798503466259418,-0.012396694214875992
2023-09-13,0.957,-0.2490975672535651,-0.005224660397074143
2023-09-14,0.961,-0.2751749471477833,-0.01664932362122795
2023-09-15,0.957,-0.24656492214612266,0.017763845350052154
2023-09-18,0.955,-0.18343247705307256,-0.005235602094240788
2023-09-19,0.956,-0.23634850371137278,-0.004184100418409997
2023-09-20,0.952,-0.2152644728102409,0.0010504201680672232
2023-09-21,0.945,-0.23174230638830526,0.002116402116402183
2023-09-22,0.974,-0.1825131114539087,-0.04004106776180694
2023-09-25,0.95,-0.08996410081908078,-0.01894736842105249
2023-09-26,0.952,-0.17505511219309883,-0.02310924369747891
2023-09-27,0.953,-0.0990766032011113,-0.012591815320041944
2023-09-28,0.947,-0.06802986253064515,-0.0168954593453009
2023-10-09,0.935,-0.01965705699286004,-0.0064171122994652885
2023-10-10,0.932,-0.07352230933010157,0.010729613733905463
2023-10-11,0.93,-0.08667807527539635,0.011827956989247213
2023-10-12,0.941,-0.113511927032034,-0.006376195536663021
2023-10-13,0.931,-0.089053883134674,0.007518796992481036
2023-10-16,0.929,-0.13651653354952928,-0.016146393972012896
2023-10-17,0.942,-0.16945983655119123,0.0031847133757962887
2023-10-18,0.941,-0.13079925700317824,0.0031880977683316214
2023-10-19,0.935,-0.16187472271248335,0.00855614973262031
2023-10-20,0.938,-0.15226640427686766,0.009594882729211163
2023-10-23,0.914,-0.19038109879264523,0.03172866520787743
2023-10-24,0.945,-0.13271798497101825,0.0
2023-10-25,0.944,-0.18411521304242034,-0.0021186440677966045
2023-10-26,0.943,-0.13510629493304518,-0.008483563096500446
2023-10-27,0.947,-0.054130296595739404,-0.001055966209081327
2023-10-30,0.943,-0.08443621396972117,0.04347826086956519
2023-10-31,0.945,-0.019199557374887034,0.04444444444444451
2023-11-01,0.942,-0.057204287980425275,0.039278131634819635
2023-11-02,0.935,-0.10282050249938038,0.04278074866310155
2023-11-03,0.946,-0.045740849534524286,0.030655391120507414
2023-11-06,0.984,0.03611543765247056,-0.014227642276422814
2023-11-07,0.987,0.08440201288035254,-0.004052684903748771
2023-11-08,0.979,0.09779453485944915,0.005107252298263587
2023-11-09,0.975,0.10538514093350931,0.0
2023-11-10,0.975,0.11977185953731073,0.004102564102564044
2023-11-13,0.97,0.1145600443748191,0.005154639175257714
2023-11-14,0.983,0.09766791756937122,-0.010172939979654183
2023-11-15,0.984,0.05413393107427927,-0.020325203252032575
2023-11-16,0.975,0.06523433826611452,-0.008205128205128198
