date,close,volume,v6_turnover,future_return_5d
2024-09-25,0.927,2043304,1.5953621298249645,0.09385113268608403
2024-09-26,0.964,1878785,1.4109738639938156,0.06950207468879666
2024-09-27,1.008,907945,0.6892490897451363,0.0
2024-09-30,1.103,4999804,3.2887604409492903,-0.05802357207615594
2024-10-08,1.128,10113322,5.208541819015398,-0.11081560283687941
2024-10-09,1.014,4521909,2.156907390468505,-0.0019723865877712132
2024-10-10,1.031,4128044,1.8311899922097625,-0.033947623666343296
2024-10-11,1.008,2393353,1.0347514081330533,0.012896825396825351
2024-10-14,1.039,2344686,0.9996034304333334,0.00673724735322434
2024-10-15,1.003,1994287,0.8303288553378091,0.04985044865403787
2024-10-16,1.012,2674864,1.0877203205656465,0.042490118577074965
2024-10-17,0.996,1425961,0.5750989577377214,0.04417670682730934
2024-10-18,1.021,2840495,1.1025978520439952,0.022526934378060748
2024-10-21,1.046,2806914,1.0589594791283896,0.007648183556405286
2024-10-22,1.053,2415729,0.8859301679255212,-0.015194681861348536
2024-10-23,1.055,2878004,1.0206497767331717,-0.028436018957346043
2024-10-24,1.04,1776221,0.6312737350138455,-0.018269230769230926
2024-10-25,1.044,1909293,0.6712405622599876,0.015325670498084198
2024-10-28,1.054,1769152,0.6170466804711879,0.006641366223908873
2024-10-29,1.037,2312522,0.7955751785245115,0.055930568948891146
2024-10-30,1.025,1664244,0.5763063328269115,0.07804878048780495
2024-10-31,1.021,1355588,0.4737140124122487,0.08031341821743387
2024-11-01,1.06,4542731,1.492671503465015,0.027358490566037563
2024-11-04,1.061,2780190,0.9481016491254556,0.029217719132893727
2024-11-05,1.095,4098897,1.5575363206913735,-0.017351598173515947
2024-11-06,1.105,4100063,1.5705672407154951,-0.018099547511312264
2024-11-07,1.103,3788433,1.4606956515938858,-0.04895738893925661
2024-11-08,1.089,4057385,1.5157691437028915,-0.053259871441689643
2024-11-11,1.092,2478696,0.9236859649721334,-0.07326007326007333
2024-11-12,1.076,2470626,0.9125791877399346,-0.0269516728624537
2024-11-13,1.085,1974523,0.7388898336697716,-0.029493087557603714
2024-11-14,1.049,2275366,0.8381482577276994,0.0057197330791229906
2024-11-15,1.031,1777580,0.6678594669759483,-0.0038797284190106307
2024-11-18,1.012,1976319,0.754297744025264,0.01086956521739113
2024-11-19,1.047,1944378,0.7488427112302702,-0.0372492836676217
2024-11-20,1.053,2111852,0.8255216811473068,-0.03228869895536568
2024-11-21,1.055,1986621,0.7733885820578664,-0.048341232227488096
2024-11-22,1.027,1014763,0.4020461280759725,-0.010710808179162479
2024-11-25,1.023,1095997,0.44009957360418483,0.0029325513196483133
2024-11-26,1.008,825595,0.34172086678999625,0.016865079365079305
2024-11-27,1.019,1446829,0.6015616840329403,0.006869479882237517
2024-11-28,1.004,940520,0.3944525010860319,0.014940239043824688
2024-11-29,1.016,1108486,0.5009753097855091,0.012795275590551158
2024-12-02,1.026,1232265,0.5771031036646268,0.0019493177387914784
2024-12-03,1.025,1641326,0.8156138810980217,0.007804878048780495
2024-12-04,1.026,1471559,0.782346338307391,0.01949317738791434
2024-12-05,1.019,849801,0.4900744329224673,0.03238469087340534
2024-12-06,1.029,1871537,1.1519050880977628,-0.006802721088435271
2024-12-09,1.028,1361676,0.8679281879227356,-0.021400778210116767
2024-12-10,1.033,1917237,1.2439804660165072,-0.03291384317521773
2024-12-11,1.046,1332497,0.8829686526537294,-0.0497131931166348
2024-12-12,1.052,1149043,0.7909194011360385,-0.05893536121673004
2024-12-13,1.022,1298070,0.9084918445382725,-0.03718199608610573
2024-12-16,1.006,1058922,0.765698684267898,-0.0248508946322068
2024-12-17,0.999,756223,0.571363507868797,-0.010010010010010006
2024-12-18,0.994,1083969,0.8520785494252707,-0.015090543259557387
2024-12-19,0.99,1028083,0.8397862181459393,-0.007070707070707116
2024-12-20,0.984,1086654,0.8850311217627387,-0.0060975609756097615
2024-12-23,0.981,1291200,1.0433310444477448,0.0
2024-12-24,0.989,2589440,1.9531639367811917,-0.03134479271991919
2024-12-25,0.979,1405272,1.0616330573118007,-0.03166496424923393
2024-12-26,0.983,731351,0.556909828209525,-0.0264496439471007
2024-12-27,0.978,1235146,0.9360261580429378,-0.012269938650306789
2024-12-30,0.981,973435,0.7450012036763041,0.004077471967380175
2024-12-31,0.958,1765141,1.3445488953185099,0.01148225469728592
2025-01-02,0.948,1479495,1.1266251784939738,0.029535864978903037
2025-01-03,0.957,1934381,1.4146017232510475,0.01567398119122254
2025-01-06,0.966,2954617,2.0783851857416815,0.03002070393374745
